Subarea_1,Program,Score,Area,ScoreOrdinal,Subarea,Mean_Score,Se_Score
NASEM.Modeling.01,B.S. in Data Analytics.O,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,"B.S. in Data Sciences, Applied Data Science option",4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,"B.S. in Data Sciences, Computational Science option",4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,Data Science Minor,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,Statistics and Data Science BA,1,Machine,1,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,Statistics and Data Science BS,1,Machine,1,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.A. in Data Science,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Statistics: Statistical Data Science,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.A. in Statistics and Data Science,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,Certificate in Data Science ,2,Machine,2,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Data Science,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Computer Science with data science specialization,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,"B.S. in Computer Science, Data Science Option",4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Human Centered Design & Engineering with Data Science option,4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,"B.S. in Informatics, Data Science Track",4,Machine,4,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Statistics with Data Science option,2,Machine,2,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.01,B.S. in Data Analytics.W,1,Machine,1,Multivariate modeling and supervised learning,3.722222,0.1577115
NASEM.Modeling.02,B.S. in Data Analytics.O,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,"B.S. in Data Sciences, Applied Data Science option",4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,"B.S. in Data Sciences, Computational Science option",4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,Data Science Minor,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,Statistics and Data Science BA,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,Statistics and Data Science BS,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.A. in Data Science,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Statistics: Statistical Data Science,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.A. in Statistics and Data Science,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,Certificate in Data Science ,2,Multivariate,2,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Data Science,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Computer Science with data science specialization,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,"B.S. in Computer Science, Data Science Option",4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Human Centered Design & Engineering with Data Science option,4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,"B.S. in Informatics, Data Science Track",4,Multivariate,4,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Statistics with Data Science option,2,Multivariate,2,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.02,B.S. in Data Analytics.W,3,Multivariate,3,Model interpretation (particularly for black box models),3.611111,0.2160079
NASEM.Modeling.03,B.S. in Data Analytics.O,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,"B.S. in Data Sciences, Applied Data Science option",1,Dimension,1,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,"B.S. in Data Sciences, Computational Science option",3,Dimension,3,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,Data Science Minor,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,Statistics and Data Science BA,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,Statistics and Data Science BS,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.A. in Data Science,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Statistics: Statistical Data Science,4,Dimension,4,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.A. in Statistics and Data Science,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,Certificate in Data Science ,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Data Science,4,Dimension,4,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Computer Science with data science specialization,1,Dimension,1,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",3,Dimension,3,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,"B.S. in Computer Science, Data Science Option",3,Dimension,3,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Human Centered Design & Engineering with Data Science option,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,"B.S. in Informatics, Data Science Track",2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Statistics with Data Science option,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.03,B.S. in Data Analytics.W,2,Dimension,2,Machine learning,3.277778,0.2893034
NASEM.Modeling.04,B.S. in Data Analytics.O,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Data Sciences, Applied Data Science option",2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Data Sciences, Computational Science option",2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Data Science Minor,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Statistics and Data Science BA,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Statistics and Data Science BS,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.A. in Data Science,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Statistics: Statistical Data Science,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.A. in Statistics and Data Science,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,Certificate in Data Science ,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Data Science,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Computer Science with data science specialization,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Computer Science, Data Science Option",4,Deep,4,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Human Centered Design & Engineering with Data Science option,2,Deep,2,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,"B.S. in Informatics, Data Science Track",1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Statistics with Data Science option,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.04,B.S. in Data Analytics.W,1,Deep,1,Model assessment and sensitivity analysis,3,0.2425356
NASEM.Modeling.05,B.S. in Data Analytics.O,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Data Sciences, Applied Data Science option",3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Data Sciences, Computational Science option",4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Data Science Minor,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Statistics and Data Science BA,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Statistics and Data Science BS,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.A. in Data Science,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Statistics: Statistical Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.A. in Statistics and Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,Certificate in Data Science ,3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Data Science,4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Computer Science with data science specialization,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Assessment,4,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Computer Science, Data Science Option",1,Assessment,1,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Human Centered Design & Engineering with Data Science option,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,"B.S. in Informatics, Data Science Track",2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Statistics with Data Science option,3,Assessment,3,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.05,B.S. in Data Analytics.W,2,Assessment,2,Dimension reduction techniques and unsupervised learning,2.277778,0.1947943
NASEM.Modeling.06,B.S. in Data Analytics.O,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Data Sciences, Applied Data Science option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Data Sciences, Computational Science option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Data Science Minor,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Statistics and Data Science BA,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Statistics and Data Science BS,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.A. in Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Statistics: Statistical Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.A. in Statistics and Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,Certificate in Data Science ,2,Interpretation,2,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Data Science,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Computer Science with data science specialization,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Computer Science, Data Science Option",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Human Centered Design & Engineering with Data Science option,4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,"B.S. in Informatics, Data Science Track",4,Interpretation,4,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Statistics with Data Science option,2,Interpretation,2,Deep learning,1.5,0.1852396
NASEM.Modeling.06,B.S. in Data Analytics.W,1,Interpretation,1,Deep learning,1.5,0.1852396
